
teslacars1;2019-06-24 02:39;0;0;"# Tesla stock falls after CEO appears to smoke pot during podcasthttps://www.pressherald.com/2018/09/07/tesla-stock-falls-after-ceo-appears-to-smoke-pot-during-podcast/ …";;;#
2RCBoyz;2019-06-24 01:15;0;0;"Trying out our new pneumatic trunk lifts from EVANNEX. # 2rcboyz # EVANNEX # TESLA # whiteinterior # greensboroNC # TESLAMODEL3 # teslalife # model3 # teslaclub # teslamotorclub # elonmusk # starman # teslanc # teslacars… https://www.instagram.com/p/BzD2Z1VFaeD/?igshid=15uqfgssvzn6p …";;;# # # # # # # # # # # # # #
teslacars1;2019-06-24 01:13;0;0;"5 Key Defenses For Autonomous Vehicle Litigationhttps://www.law360.com/technology/articles/1078688/5-key-defenses-for-autonomous-vehicle-litigation …";;;
teslacars1;2019-06-23 08:03;0;0;"Teslas Lithium Warning Supports Albemarles Growth Planshttps://finance.yahoo.com/news/tesla-apos-lithium-warning-supports-011600125.html …";;;
teslacars1;2019-06-23 02:39;0;1;"Behind the wheel of a # Tesla Model 3: Its a giant iPhone — for better and worsehttps://www.washingtonpost.com/technology/2018/08/02/behind-wheel-tesla-model-its-giant-iphone-better-worse/ …";;;#
teslacars1;2019-06-23 01:13;0;0;"# Tesla engineering head, Doug Field, takes break from companyhttps://ca.reuters.com/article/technologyNews/idCAKBN1ID00T-OCATC …";;;#
teslacars1;2019-06-22 22:39;0;0;"Ex-Tesla engineer Doug Field is back at Apple, working on its self-driving-car program, Project Titanhttps://www.businessinsider.com/ex-tesla-exec-doug-field-returns-to-apple-for-project-titan-2018-8 …";;;
TeslaBargain;2019-06-22 18:48;0;0;"AP1 does very well even in rain . . . . . # tesla # teslamotors # teslamodels # car # cars # supercars # carsofinstagram # electriccar # electricvehicle # teslaowner # teslacar # teslacars # zeroemission # nogas # electric… https://www.instagram.com/p/BzAl35mirlF/?igshid=1vvame9bdvbpn …";;;# # # # # # # # # # # # # # #
teslacars1;2019-06-22 08:03;0;1;"Can Elon Musk and # Tesla Reinvent the Way Cars Are Made?https://www.nytimes.com/2018/06/30/business/tesla-factory-musk.html …";;;#
teslacars1;2019-06-22 02:39;0;0;"Enough of the Elon Musk and # Tesla Inc Snake Oilhttps://investorplace.com/2018/04/enough-of-the-tesla-musk-snake-oil/ …";;;#
teslacars1;2019-06-22 01:13;0;0;"Teslas Sales Collapse In Europe: Down 63% This Quarterhttps://seekingalpha.com/article/4155182-teslas-sales-collapse-europe-63-percent-quarter …";;;
BostonEARenee;2019-06-22 00:18;0;1;"TRUCKLA: The world's first Tesla pickup truck https://youtu.be/R35gWBtLCYg  via @ YouTube # teslatruck # truckla # Teslacars # Tesla";;@;# # # #
Norwegianmama;2019-06-21 08:50;0;1;"Somewhere just south of San Luis Obispo # teslaroadtrip # tesla # teslamodel3 # roadtrip # familytrip # montereybound # teslacars # california # sanluisobispo # norwegianmama @Santa Maria, California https://www.instagram.com/p/By88siQHFQw/?igshid=1jdn6pavwq3sk …";;@Santa;# # # # # # # # # #
teslacars1;2019-06-21 08:03;0;0;"Teslas Elon Musk Had a Deal From the SEC It Fell Apart in a Morning.https://www.nytimes.com/2018/09/28/business/elon-musk-tesla-sec-deal.html …";;;
teslacars1;2019-06-21 02:39;0;0;"# Tesla Motors tours # electric semi truck to customer sites http://www.dcvelocity.com/articles/20180831-tesla-motors-tours-electric-semi-truck-to-customer-sites/ …";;;# #
TeslaBargain;2019-06-21 02:27;0;0;"Nothing Special, Just The Usual . . . . . # tesla # teslamotors # teslamodels # car # cars # supercars # carsofinstagram # electriccar # electricvehicle # teslaowner # teslacar # teslacars # zeroemission # nogas # electric… https://www.instagram.com/p/By8QzGvi3Ts/?igshid=1vpuhrhwblqls …";;;# # # # # # # # # # # # # # #
teslacars1;2019-06-21 01:13;0;0;"San Diegos Maxwell Technologies teams with Volvo to phase out gas-powered carshttp://www.sandiegouniontribune.com/business/energy-green/sd-fi-maxwell-volvo-20180511-story.html …";;;
motowey;2019-06-21 00:47;0;0;"Leather Premium Keychain Shop Now on http://Motowey.com  . Tesla model S . Tesla model X . # nicolatesla # teslaclub # teslamodelxp100d # teslasupercharger # teslamodels # teslacigs # teslacars # teslas # teslasemi… https://www.instagram.com/p/By8FY2SoM8i/?igshid=v044rp9und67 …";;;# # # # # # # # #
RiessVictoria;2019-06-20 23:55;0;0;"Why all standard black # Teslacars are about to cost $1,000 more: 1) Tesla will start charging $1,000 for its once-standard black paint color next month, according to a tweet Wednesday by # CEO @ Elon Musk, the latest # pricing adjust…https://lnkd.in/dZxj-f2  https://lnkd.in/dBz-_cg";;@;# # #
